SMILES,REWARD
CC(C=NNC(=O)C(C)N1C(=O)c2ccccc2C1=O)=NNC(=N)N,6.53
O=C(CC(=O)NNC(=O)n1nnc2ccccc21)NN=C1CCCC1,8.1
CNN=Nc1ccc(C(=O)Nc2nc(NC(=O)N(C)C(C)C(O)c3ccccc3)nc(Nc3ccc(N=NNc4ccc(NN)cc4)cc3)n2)cc1,11.85
CN(N=Nc1ccc(OCC(=O)NNC(=O)NNC(=S)Nc2ccccc2)c(-n2cnnc2)c1)c1ccccc1,8.73
Cc1cc(N(CC(=O)OCc2ccccc2)CC(=O)N(CCc2ccccc2)C(C)C(=O)NNc2cc(C(=O)NN=C3CCCC3)nc(N)n2)ccc1NNC(=S)NC(N)=O,8.17
O=C(N=NC(=O)NNC(=O)N=NC(=O)Nc1ccccc1)NNC(=O)N=NC(=O)NNC(=O)N=Nc1ccccc1Br,11.12
CN(C(=N)NC(=N)N)C(=N)NC(=O)NOCC1NC(=O)N(COC(=O)NNC(=O)N=NC(=O)NNC(=O)N=NC(=O)NNc2ccccc2Br)C1=O,9.22
Cc1cccc(NNC(=O)C(=O)NNC(=O)NNC(=S)Nc2ccc(-c3c(C(C)C)nn4c5c(nnc34)C(=O)CC(C)(C)C5)cc2)c1,10.48
O=C(N=NC(=O)NNC(=O)c1ccccc1Br)NNC(=O)NNC(=O)NNC(=O)NNC(=O)NNC(=O)C(=O)NNC(=O)N=Nc1ccccc1Br,12.91
CC(=NNC(=O)c1ccc(NC(=N)NC(=N)N(C)C(=N)N)c(C)c1)C(C)=NNc1c(Cl)cc(C=NNC(=N)N)cc1Br,10.13
CCc1nnc2ccc(NN=Cc3ccc(NNC(=O)N=Nc4ccc(NN=C(C(=N)N)C(=N)N)cc4)cc3)nn12,10.95
N=C(N)NN=Cc1ccc(N=NNc2cccc(NC(=O)C(=O)N3CCN(N=Nc4cccc(C=NNC(=O)NN=Cc5ccccc5)c4)CC3)c2)cc1,11.45
O=C(N=NC(=O)NNC(=O)c1cccc(Br)c1)NNC(=O)C(=O)NNC(=O)NNC(=O)NN=Cc1cc(Br)cc(Br)c1O,10.88
CC(=O)NNc1cc(NNC(=O)N=NC(=O)NNC(=O)c2ccc(N=NNc3ccccc3C(=O)NN=C(N)N)cc2)nc(N)n1,12.81
Cn1c2ccccc2c(=O)c2c(=O)n(Cc3ccccc3)c(-c3ccco3)nc21,5.09
N#Cc1c(NC(=O)NNC(=O)NNC(=O)NNC(=S)NNC(=O)NNC(=S)Nc2ccc(C(=NNC(=O)C(=O)NNc3ccccc3)C3CC3)cc2)sc2c1CCCC2,11.88
Cc1nnc(CN2CCCC(S(=O)(=O)N3CCOCC3)C2)s1,6.19
N=C(NN=Cc1ccc(Br)cc1)C(=N)NN=Cc1cccc(NNC(N)=S)c1,8.33
NCC(=O)NNC(=S)NC(=O)c1ccc(C(=O)COC(=O)N=NC(=O)NNc2ccccc2Br)cc1,8.42
Cc1ccccc1-n1c(SCC(=O)NNc2cc(NC(=S)N=C(N)N)nc(N)n2)nc2c(-c3ccccc3)c[nH]c2c1=O,9.56
N=C(N)Nc1cc(NNC(=O)NNC(=O)NNC(=O)NNC(=O)N=NC(=O)NCc2nn(C3CCCC3)c(=O)c3ccccc23)nc(N)n1,12.56
COc1ccccc1C=NNC(=N)C(=N)NN=Cc1ccc(N=NN2CCC(NC(=O)NNC(=O)N=Nc3ccccc3)CC2)cc1,11.18
N=C(N)C(=NNc1ccc(NC(=O)NNC(=O)NNC(=O)N=Nc2ccccc2Br)cc1)C(=N)N,10.09
O=C(N=NC(=O)NNC(=S)NNC(=O)N=Nc1ccccc1Br)NNC(=O)c1ccc(Br)cc1,9.05
CC(C)N1C(=O)C2(CCN(C(c3ccccc3)(c3ccc(CNNC(N)=O)cc3)c3ccc(NN=C(C(=N)N)C(=N)N)cc3)CC2)c2ccccc21,10.06
O=C(CCCc1cn[nH]c1)N1CC2CCC(C1)N(Cc1cscn1)C2=O,0.0
CCC(C(=O)NNc1cc(C)nc(N)n1)N(Cc1ccccc1C)C(=O)Cc1ccccc1,6.92
Cc1cc(NNC(=O)C(=O)NNC(=S)Nc2cc(NNC(=O)N=NC(=O)NCc3cc(-c4cnccn4)nn3C)nc(N)n2)nc(N)n1,11.29
N#CNC(N)=NC(=S)Nc1cc(NNC(=O)C2CCN(C(=Nc3ccccc3)Nc3ccccc3)CC2)nc(N)n1,9.51
N#CNC(=N)c1ccc(C=NOCC(=O)NC(=O)NNC(=S)N=Nc2ccccc2)cc1NNC(=O)C(=O)NNc1cc(C(=O)NN)nc(N)n1,10.31
Cc1ccc(NN=Nc2cccc(C(=O)NNC(N)=S)c2)cc1NN=Nc1ccccc1,10.24
COc1cc(C=NNC(=N)NN=Cc2ccc(C(=O)NN=CC(C)=NNC(=N)N)cc2)ccc1COc1ccccc1,9.49
NNC(=S)Nc1ccc(N=NNc2ccc(N=C(Nc3ccc(Oc4nn[nH]n4)cc3)C(=Nc3ccccc3)Nc3ccccc3)cc2)cc1,11.35
CC1CCc2c(sc3nc(CSc4nnc(COc5nnnn5-c5ccccc5)n4C(C)CONC(=O)NC(=N)N)[nH]c(=O)c23)C1,8.89
N=C(NN=Cc1cccc(I)c1)C(=N)NN=Cc1cccc(N=NC(=O)NNC(=O)c2ccc(Br)cc2)c1,10.8
N=C(N)C(=NNc1ccc(-c2noc(-c3cccn4c(=O)n(CC(=O)NNC(=O)N=NC(=O)NNc5ccccc5)nc34)n2)cc1)C(=N)N,10.79
Cc1ccc(N=C=O)cc1NNC(=O)C(=O)NNC(=O)c1ccccc1-n1cnc(CNCCCNC(=O)NN=C2CCCCC2)c1,9.57
Cc1sc(-c2cc(C(=O)Oc3cccc(NN=Cc4ccccc4Br)c3)[nH]n2)cc1S(=O)(=O)NN=C1CCCc2ccccc21,8.42
N=C(NN=Cc1ccc(N=NN2CCN(NC(=O)C34CC5CC(CC(C5)C3)C4)CC2)cc1)NN=Cc1ccc(NC(N)=NN)cc1,11.7
N=C(N)COc1ccc(C(=O)NNC(=O)Nc2ccc(Cl)c(Cl)c2)cc1NNC(=O)C(=O)NNC(=O)C(=O)NNC(=O)NC1CCCCC1,10.05
N=C(N)NN=Cc1cccc(NNC(=O)C(=O)NNc2ccc(-c3ccccc3)c(NNC(=O)N=Nc3ccc(NN=C(C(=N)N)C(=N)N)cc3)c2)n1,11.67
N#[N+][N-]CC(O)COC(=O)C1=C(c2ccc(NN=C(C(=N)N)C(=N)N)cc2)NC(=S)NC1c1ccccc1N=Cc1ccccc1,8.31
O=C(N=Nc1ccccc1Br)NNC(=O)C(=O)NNC(=O)c1ccccc1SSc1ccccc1N=Nc1ccc(Br)cc1,8.14
N=C(N)C(=N)NCc1ccc(NNC(=O)C(=O)NNc2ccc(NN=C(C(=N)N)C(=N)N)cc2Cl)cc1Br,9.77
NN=C(NN=Cc1ccc(NC(=S)NNC(=O)NNC(=O)Nc2ccc3c(c2)oc2ccccc23)cc1)c1ccccc1,10.78
Cc1cccc(Br)c1N(CCCC(=O)NNC(=O)C(=O)NNC(=O)N=NC(=O)NNC(=O)COc1c(Br)cc(Br)cc1Br)S(C)(=O)=O,7.82
CC(=NNC(=O)NN=Cc1ccc(C=NNC(=N)C(=N)NN=Cc2ccc(NNC(C#N)C#N)cc2)cc1)c1ccc(NC(=N)NC(=N)N)cc1Cl,10.51
NC(=S)NNC(=O)c1cccc(NN=Nc2ccc(-c3nn[nH]n3)cc2)c1,10.2
CCn1c(C)cc2cc(NNC(=O)C(=O)NNC(=O)C(=O)NNC(=O)C(=O)NNC(=O)C(=O)NNC(=O)Nc3ccccc3C)ccc21,10.39
CC(N)c1ccc(NN=Cc2ccc(N=Nc3ccc(NNC(=O)C(=O)NNc4ccc(NC(=N)NC(=N)N)c(Cl)c4)cc3)c(N)n2)cc1,11.79
CC(C=NNC(=N)C(=N)NN=Cc1ccc(NC(=O)NNC(=O)C(=O)NNC(=O)NNC(=O)N=NC(=O)Nc2ccccc2)cc1)=NNC(=N)N,12.65
N=C(N)C(=NNc1ccc(C(=NN)NN=Cc2ccc(NNC(=O)C(=O)NNc3ccc(C(=O)NC4CC4)cc3Cl)cc2)cc1)C(=N)N,10.57
CC(=O)NN(C(=O)NCCNC(=O)N=NC(=O)NNC(=O)N=NC(=O)NNC(=O)N=Nc1ccccc1Br)c1ccccc1,10.49
CC(C=NNC(=O)CN1C(=O)NC(=O)C(=Cc2cc(C)n(-c3ccc(NN=Nc4cccc(-c5nn[nH]n5)c4)cc3Cl)c2C)C1=O)=NNC(=N)N,11.41
N#CC(C(=O)C1=NN(c2ccccc2)C2(C(=O)c3ccccc3C2=O)C1c1ccc(N=Nc2ccc(N)c3ccccc23)cc1)c1ccc(NN=C(C(=N)N)C(=N)N)cc1,9.18
