START,END,REWARD,IMPROVEMENT,SIMILARITY
Cc1cc2cc(CCNC(=O)c3cccc(C(F)(F)F)c3)c(=O)[nH]c2cc1C,COCCOC(=O)c1cnn(-c2cccc(S(=O)(=O)NCCc3cc4cc(C)c(C)cc4[nH]c3=O)c2)c1N,3.09,-1.91,0.4409448818897638
Cc1cccc(OCCN2C(=O)/C(=N/O)c3ccccc32)c1,O=C(CCN1C(=O)/C(=N/O)c2ccccc21)Nc1ccc(OCc2ccccc2Cl)cc1,5.52,1.2899999999999991,0.4622641509433962
Cc1ccc(NC(=O)COC(=O)COc2ccc(Cl)cc2)cc1F,NC(=O)c1ccc(NC2(C(N)=O)CCN(CCOc3ccc([N+](=O)[O-])cc3)CC2)cc1C(=O)O,3.19,-0.5899999999999999,0.288
CNC(=O)[C@@H](C)N(Cc1ccc(F)cc1)C(=O)CN(c1cc(C)ccc1C)S(=O)(=O)N(C)C,CC=Cc1ccc(C)c(N(CC(=O)N(Cc2ccc(-n3nc(C)cc3N)cc2)[C@H](C)c2ccccc2)S(=O)(=O)N(C)C)c1,5.87,2.15,0.4680851063829787
Cc1ccccc1OC[C@@H](O)C(=O)NC1CCN(c2ncccn2)CC1,OC(c1ccccc1)(c1ccccc1)C1CCN(c2ncccn2)CC1,5.06,0.5299999999999994,0.4205607476635514
Cc1ccccc1OC[C@@H](O)C(=O)NC1CCN(c2ncccn2)CC1,OC(c1ccccc1)(c1ccc(-c2n[nH]c(=S)o2)cc1)C1CCN(c2ncccn2)CC1,5.66,1.3500000000000003,0.3629032258064516
O=C(NCc1ccccc1F)N1CCC[C@@H](OCc2ccccn2)C1,CC12CCC(C(=O)O[C@@H]3CCCN(C(=O)Oc4cccc5cccnc45)C3)(OC1=O)C2(C)C,5.65,0.5200000000000005,0.296875
O=C(NCc1ccccc1F)N1CCC[C@@H](OCc2ccccn2)C1,O=C(Cc1ccncc1)O[C@@H]1CCCN(C(=O)c2cc(C=Cc3ccncc3)cc([N+](=O)[O-])c2)C1,5.76,0.8599999999999994,0.2700729927007299
O=C(Cc1ccccc1)N1CCC(c2ccccc2)=N1,COc1ccc(N=C(Nc2cccc(-[n+]3nc(=O)o[n-]3)c2)c2ccccc2)cc1,6.41,1.37,0.2307692307692307
CN(C)c1noc([C@H]2CCCN(C(=O)Cc3cccs3)C2)n1,Cc1n[nH]c(SCC(=O)N2CCC[C@H](c3nc(N(C)CS(=O)(=O)O)no3)C2)nc1=O,3.48,-2.22,0.4038461538461538
Cc1cc(Sc2ccc(Cl)cc2)n2ncc(S(=O)(=O)c3ccccc3)c2n1,Cc1cc(Sc2ccc(Cn3nnc(N)n3)cc2)n2ncc(S(=O)(=O)n3nnc4ccccc43)c2n1,6.49,0.5200000000000005,0.5083333333333333
COc1ccccc1S(=O)(=O)N(C)Cc1nc(C)c2c(n1)N(CCC(C)C)C(=O)CC2,Cc1nc(CN(C(C)C)S(=O)(=O)CC23CCC(CC2=O)C3(C)C)nc2c1CCC(=O)N2Cc1ccccc1,6.24,1.12,0.484375
Cc1ccc(C2=C[C@H](c3c(Cl)cccc3Cl)n3ncnc3N2)cc1,Clc1cccc(Cl)c1[C@H]1C=C(c2ccc(C#Cn3nnc4ccccc43)cc2)Nc2ncnn21,6.87,1.16,0.5943396226415094
